%time,field.ecef_vel.e,field.ecef_vel.n,field.ecef_vel.u
1665831192.03132,0.371576999,5.330662632,0.181854454
1665831192.23291,0.254434192,5.533728507,0.260999784
1665831192.4242,0.370541242,5.711237972,0.128760028
1665831192.62505,0.379954269,5.85129487,0.166772529
1665831192.82654,0.392737443,6.077312706,0.321704315
1665831193.02815,0.328793032,6.23848114,0.2732876
1665831193.22867,0.345209849,6.405807033,0.219600326
1665831193.43112,0.385196172,6.607173077,0.192083961
1665831193.63114,0.398218459,6.667429503,0.458750781
1665831193.83078,0.453586298,6.830440636,0.216661143
1665831194.03231,0.405052968,7.028293029,0.31050509
1665831194.23311,0.428024087,7.22471282,0.346287677
1665831194.42467,0.409831253,7.306068742,0.408956048
1665831194.62641,0.421172812,7.390419903,0.245745783
1665831194.82698,0.481705037,7.524043522,0.459460448
1665831195.02852,0.435612776,7.792541377,0.221107044
1665831195.22902,0.4685327,7.834661312,0.499634798
1665831195.43065,0.450207774,7.996327331,0.31347214
1665831195.63218,0.620726579,8.024971246,0.391422914
1665831195.8231,0.465998833,8.11964292,0.402354467
1665831196.02335,0.742524705,8.114176682,1.015243864
1665831196.22474,0.680550282,8.250236279,0.91928837
1665831196.42619,0.475387031,8.712687844,0.190473277
1665831196.62675,0.43362176,8.533668156,0.760986645
1665831196.82794,0.574595474,8.728894967,0.385434899
1665831197.02942,0.614527525,8.673976986,0.323085427
1665831197.23085,0.636417525,8.958092336,0.653264024
1665831197.43244,0.752684119,8.97865162,0.626672767
1665831197.63288,0.711245978,8.845293503,0.819356816
1665831197.82493,0.834383318,8.8766798,1.168186468
1665831198.02534,0.672201685,9.350848978,0.337971581
1665831198.22566,0.760227447,9.095634712,0.737748211
1665831198.42603,0.823349802,9.395573294,0.595605764
1665831198.62732,0.890248491,9.371668227,0.935417143
1665831198.82783,0.766444537,9.44508379,0.593380557
1665831199.0292,0.747273953,9.579502099,0.632453014
1665831199.22965,0.869599897,9.53083748,0.37902502
1665831199.43101,0.863447437,9.373173224,1.271275444
1665831199.63251,0.911683157,9.413139522,0.475652707
1665831199.83403,0.859650724,9.644963739,0.74583046
1665831200.02443,0.86419032,9.7368581,0.714331597
1665831200.22577,0.786804624,9.354952548,0.437224878
1665831200.42712,0.84946779,9.535135558,0.390984735
1665831200.62753,0.921109149,9.39145226,0.462334548
1665831200.82894,0.872792364,9.201712828,0.676380281
1665831201.0302,0.796812761,9.26157167,0.314863533
1665831201.23134,0.858509051,9.145199886,0.459803541
1665831201.42342,0.842167926,9.020954311,0.563819042
1665831201.62371,0.74014398,9.016301263,0.237815647
1665831201.82493,0.673267216,8.940786294,0.412098974
1665831202.02513,0.622606316,9.005550447,0.27878878
1665831202.22744,0.623864729,8.95015795,0.134438
1665831202.4291,0.588163136,8.936580361,0.186894032
1665831202.63006,0.662152938,9.062745002,0.518366403
1665831202.83155,0.705734842,9.009337354,0.377449652
1665831203.03292,0.634600877,9.144873149,0.153709384
1665831203.22427,0.930873361,9.233066598,0.895337991
1665831203.4246,0.722844251,9.156029193,0.614811954
1665831203.62588,0.624534149,9.270277664,0.184739994
1665831203.82611,0.53314978,9.300075495,0.073643431
1665831204.02694,0.675873654,9.270707282,0.485998489
1665831204.22817,0.546880881,9.33238303,-0.002111239
1665831204.42938,0.719189349,9.346550576,0.374992158
1665831204.63067,0.699376974,9.394991993,0.101596037
1665831204.83189,0.708464769,9.377492515,0.340256445
1665831205.02297,0.739043433,9.473948096,0.001801018
1665831205.22426,0.544224823,9.579883233,0.022269185
1665831205.42337,0.335149396,9.569886626,-0.274608506
1665831205.62547,0.711092984,9.324070588,0.387984426
1665831205.82685,0.525697879,9.590444903,0.014217882
1665831206.02809,0.497206411,9.681805576,0.004666775
1665831206.22923,0.579542528,9.657607913,0.06143593
1665831206.4317,0.843938635,9.391315901,0.685890118
1665831206.63324,0.892643786,9.454163779,0.219910996
1665831206.82442,1.084162116,9.751556089,0.43970154
1665831207.02581,0.555369385,10.07336684,-0.660123908
1665831207.22711,0.804399944,9.806359606,0.425617445
1665831207.42828,0.38255635,10.12329981,-0.295947709
1665831207.63038,0.411171296,9.913905698,0.20845152
1665831207.83199,0.514003096,10.02186652,0.447320649
1665831208.03314,0.809604516,9.962779678,0.45619789
1665831208.23449,0.701986268,10.07443619,0.292943134
1665831208.4257,0.655372839,10.07998542,0.324142242
1665831208.62705,0.619279843,10.09273729,0.270427203
1665831208.82858,0.50061616,10.19044222,0.009398974
1665831209.02984,0.648065879,10.17523567,0.230560796
1665831209.23145,0.640197769,10.30392924,0.155313476
1665831209.43078,0.664795112,10.18931577,0.035141212
1665831209.63228,0.710050714,10.38733552,-0.026181617
1665831209.82268,0.485504505,10.27185867,0.532079163
1665831210.02394,0.682391455,10.48655871,0.035950455
1665831210.22509,0.618876317,10.4168981,0.016421822
1665831210.42645,0.675741083,10.5526751,-0.013304846
1665831210.62774,0.638542761,10.54379456,0.264700821
1665831210.82806,0.651922128,10.66536085,-0.131473028
1665831211.02913,0.636021259,10.64934971,0.212065174
1665831211.23051,0.654306202,10.71833836,0.100719372
1665831211.4318,0.619941941,10.82410602,0.139141473
1665831211.63301,0.589633473,10.82375831,0.109587356
1665831211.82429,0.553595464,10.91309789,0.120448864
1665831212.02559,0.707303305,11.01014528,-0.067044265
1665831212.22683,0.614399332,11.02817562,0.235793329
1665831212.42726,0.627249077,11.10390422,0.158992594
1665831212.62766,0.705792847,11.17985181,-0.057590069
1665831212.82921,0.66359986,11.11217618,0.261184351
1665831213.02969,0.710605709,11.38694443,-0.080733352
1665831213.23099,0.707680439,11.53170472,-0.401464457
1665831213.43242,0.699364713,11.39436493,0.095616262
1665831213.62408,0.61663215,11.47274806,0.252476383
1665831213.82565,0.899528458,11.44130715,0.549493837
1665831214.02718,0.745564705,11.60729141,-0.001465588
1665831214.22859,0.839659129,11.60110004,0.241457417
1665831214.43036,0.693115089,11.69480169,0.257587626
1665831214.63067,0.633423428,11.84040665,0.182814085
1665831214.83193,0.736303983,11.80463704,0.132177673
1665831215.03338,0.756952605,11.88752744,0.180856163
1665831215.22357,0.748566649,12.04932464,0.044008104
1665831215.42486,0.669282811,12.0464883,0.167011877
1665831215.62604,0.703015456,12.07133842,0.311140847
1665831215.82729,0.626339905,12.15465798,0.124558288
1665831216.02943,0.640597922,12.25109148,0.211320824
1665831216.23078,0.568474238,12.10104427,0.46209542
1665831216.32124,0.568474238,12.10104427,0.46209542
1665831216.43192,0.860855996,12.29044587,0.05729968
1665831216.62307,0.437256902,12.18585222,-0.064075343
1665831216.82439,0.805350207,12.10544241,-0.104465814
1665831217.02665,0.654479123,12.18241065,0.132215545
1665831217.22794,0.618088979,12.11303038,0.210248461
1665831217.42946,0.676656909,12.01547008,-0.004137277
1665831217.62977,0.653481043,12.05929092,0.091166463
1665831217.83011,0.68847186,11.94174055,0.216242971
1665831218.03136,0.663220492,11.85833891,0.076583585
1665831218.23275,0.606432324,11.97377224,0.159464581
1665831218.43328,0.605856229,11.8990714,-0.051604656
1665831218.62498,0.584499344,11.85667421,0.02909938
1665831218.82644,0.727397459,11.6987649,0.15313131
1665831219.02805,0.748590213,11.52801182,0.311382128
1665831219.22935,0.725410695,11.60008428,0.209899317
1665831219.43067,0.947037581,11.51141173,0.111073193
1665831219.63226,0.656677031,11.44385171,0.101066976
1665831219.82257,0.83290151,11.43870917,0.332600337
1665831220.03383,0.716370056,11.18535907,0.257647433
1665831220.22504,0.705420284,11.26531846,0.061246976
1665831220.42631,0.834685772,11.05618432,0.594630182
1665831220.62756,0.754368157,11.00776509,0.455139969
1665831220.82888,0.675288984,10.90340684,0.355662641
1665831221.02902,0.920815632,10.5793528,0.913469229
1665831221.23048,0.78023706,10.63563069,0.526816252
1665831221.43065,0.55470573,10.61491059,0.506219251
1665831221.63187,0.66081451,10.40689922,0.536920006
1665831221.82306,0.694969305,10.15269195,0.65858264
1665831222.03436,0.47805816,10.12128036,1.034238822
1665831222.22566,0.609672344,10.17155986,0.917851073
1665831222.32641,0.609672344,10.17155986,0.917851073
1665831222.42685,0.59573638,9.952776299,0.559505456
1665831222.62794,0.646736632,9.854449863,0.843648266
1665831222.8291,0.566980492,9.92373005,0.79476326
1665831223.03025,0.568743412,9.856641125,0.548567996
1665831223.23253,0.712568267,9.619531013,0.886333974
1665831223.42361,0.601154242,9.404140243,1.177624106
1665831223.62485,0.546661987,9.791091019,0.474916897
1665831223.82614,0.285647017,9.472968144,0.220996591
1665831224.02764,0.626277676,9.076138836,1.357361082
1665831224.22766,0.49992178,9.154808025,0.807428544
1665831224.42917,0.685754288,8.846482583,1.44363737
1665831224.62832,0.403038338,8.73725224,0.783989795
1665831224.83062,0.59741277,8.457988716,1.126212243
1665831225.03182,0.302558226,8.550953942,0.585157149
1665831225.23297,0.534561419,8.450213289,0.667777362
1665831225.43421,0.765335345,7.862089467,1.340931093
1665831225.62461,0.123497331,8.118300365,0.159014522
1665831225.82596,0.451005057,7.688211582,0.910129838
1665831226.02752,0.275570324,7.648117387,0.497591355
1665831226.22789,0.412476118,7.262525057,0.818515192
1665831226.4292,0.449642917,7.105238702,0.820428692
1665831226.63039,0.138077039,6.810728161,0.463327509
1665831226.83274,0.746017588,6.635006454,1.12989602
1665831227.02367,0.49526681,6.345367007,1.349640481
1665831227.23513,0.371215403,6.023024716,0.662109568
1665831227.42624,0.273457013,5.844109557,0.636205842
1665831227.62752,0.185114048,5.593980652,0.065838039
1665831227.82873,0.343226925,5.044594402,0.773776283
