%time,estimated_velocity,yaw_rate
1665831597.94048,10.3138885498,0
1665831597.95269,10.3083333969,0
1665831597.96478,10.3152770996,0
1665831597.97707,10.3097229004,0
1665831597.98929,10.3152770996,0
1665831598.00152,10.3138885498,0
1665831598.01404,10.3125,0
1665831598.02659,10.3097219467,0
1665831598.03837,10.3041667938,0
1665831598.05068,10.2986106873,0
1665831598.0631,10.3083333969,0
1665831598.07519,10.338889122,0
1665831598.08757,10.322221756,0
1665831598.10005,10.3152770996,0
1665831598.11257,10.3041667938,0
1665831598.12453,10.3597221375,0
1665831598.13646,10.2944450378,0
1665831598.1495,10.3138885498,0
1665831598.16094,10.3194446564,0
1665831598.17311,10.3513889313,0
1665831598.18634,10.2958335876,0
1665831598.19833,10.3069438934,0
1665831598.21059,10.2958335876,0
1665831598.22199,10.2986106873,0
1665831598.23513,10.2888889313,0
1665831598.24654,10.3347225189,0
1665831598.25865,10.3041667938,0
1665831598.27071,10.3333330154,0
1665831598.28311,10.3319444656,0
1665831598.29515,10.3333339691,0
1665831598.30737,10.3055553436,0
